Assignment,Due Date,Points Possible,Score,Grade
"Assignment 1","11/1/2024",20,18,"18"
"Assignment 2","11/8/2024",20,20,"20"
"Assignment 3","11/15/2024",20,11,"11"
"Assignment 4","11/22/2024",20,18,"18"
"Assignment 5","11/29/2024",20,0.5,"0.5"
"Mock quiz 1","",0,,""
"Mock quiz 2","",0,,""
"Quiz 1 - 2024-2025","11/21/2024",20,16,"16"
"Quiz 2 - 2024-2025 ","12/5/2024",20,17,"17"
"Resit - 2024-2025","12/19/2024",33,,""
"Project assignment: iTrade","12/15/2024",100,84,"84"
