Assignment,Due Date,Points Possible,Score,Grade
"Exam","",100,85,"85"
"Roll Call Attendance","",100,,""
"Assignment 0","11/6/2025",0,0,"complete"
"Assignment 1","11/10/2025",100,93,"93"
"Assignment 2","11/24/2025",100,98,"98"
"Assignment 3","12/15/2025",100,90,"90"
