Assignment,Due Date,Points Possible,Score,Grade
"Choose project topic","2/26/2026",,,""
"Final report submission","3/27/2026",10,,""
"Testquiz","",0,,""
"Quiz 1","2/13/2026",10,8.5,"8.5"
"Quiz 2","2/20/2026",10,10,"10"
"Quiz 3","2/27/2026",10,10,"10"
"Quiz 4","3/6/2026",10,10,"10"
"Retake quiz 1","3/27/2026",10,,""
"Retake quiz 2","3/27/2026",10,,""
"Retake quiz 3","3/27/2026",10,,""
"Retake quiz 4","3/27/2026",10,,""
"Practice Exam","",0,,""
"Practice application questions","",0,,""
