Assignment,Due Date,Points Possible,Score,Grade
"Assigment 1- DUE 8PM!","9/12/2025",4,2.5,"62.5%"
"Assignment 1 review","",1,0,"0%"
"Assigment 2 - CODING - DUE 8PM Friday after exam","9/26/2025",5,5,"100%"
"Assigment 3","10/6/2025",8,6.8,"85%"
"Assignment 3 review","",2,2,"100%"
"Assigment 4","10/15/2025",10,10,"100%"
"Exam 1","",70,50,"50"
"Exam 2","",10,6.5,"6.5"
