Assignment,Due Date,Points Possible,Score,Grade
"Calculus Exam","",10,2.13,"2.13"
"First Calculus Exam","",10,,""
"Linear Algebra Exam","",10,,""
"Full Final Exam","",10,,""
"Resit Exam","",10,1.6,"1.6"
